Video,Animal_1_TopLeft,Animal_2_TopLeft,Animal_1_BottomRight,Animal_2_BottomRight,Animal_1_MicCenter,Animal_2_MicCenter,Animal_1_MidLeft,Animal_2_MidLeft,Animal_1_MidRight,Animal_2_MidRight,Animal_1_Octagon,Animal_2_Octagon,Animal_1_Ringside,Animal_2_Ringside,Animal_1_TopLeft_%_of_session,Animal_2_TopLeft_%_of_session,Animal_1_BottomRight_%_of_session,Animal_2_BottomRight_%_of_session,Animal_1_MicCenter_%_of_session,Animal_2_MicCenter_%_of_session,Animal_1_MidLeft_%_of_session,Animal_2_MidLeft_%_of_session,Animal_1_MidRight_%_of_session,Animal_2_MidRight_%_of_session,Animal_1_Octagon_%_of_session,Animal_2_Octagon_%_of_session,Animal_1_Ringside_%_of_session,Animal_2_Ringside_%_of_session
Video10,12,8,8,12,10,6,9,5,3,1,2,2,17,8,0.117,0.078,0.078,0.117,0.097,0.058,0.087,0.049,0.029,0.010,0.019,0.019,0.165,0.078
Video11,8,9,8,10,12,10,7,7,9,4,1,1,5,8,0.081,0.091,0.081,0.101,0.121,0.101,0.071,0.071,0.091,0.040,0.010,0.010,0.051,0.081
Video12,11,4,18,13,13,4,7,8,9,6,2,0,11,5,0.099,0.036,0.162,0.117,0.117,0.036,0.063,0.072,0.081,0.054,0.018,0.000,0.099,0.045
Video13,9,10,5,13,5,0,2,6,3,0,0,1,15,5,0.122,0.135,0.068,0.176,0.068,0.000,0.027,0.081,0.041,0.000,0.000,0.014,0.203,0.068
Video14,27,4,27,20,12,1,11,15,8,2,6,3,13,1,0.180,0.027,0.180,0.133,0.080,0.007,0.073,0.100,0.053,0.013,0.040,0.020,0.087,0.007
Video15,9,9,13,8,5,3,6,6,1,0,0,0,3,8,0.127,0.127,0.183,0.113,0.070,0.042,0.085,0.085,0.014,0.000,0.000,0.000,0.042,0.113
Video17,30,10,13,13,8,2,8,5,8,2,2,3,13,13,0.231,0.077,0.100,0.100,0.062,0.015,0.062,0.038,0.062,0.015,0.015,0.023,0.100,0.100
Video18,18,7,26,33,7,6,17,11,8,3,1,0,15,7,0.113,0.044,0.164,0.208,0.044,0.038,0.107,0.069,0.050,0.019,0.006,0.000,0.094,0.044
Video19,27,18,12,9,16,7,33,9,2,1,0,0,21,6,0.168,0.112,0.075,0.056,0.099,0.043,0.205,0.056,0.012,0.006,0.000,0.000,0.130,0.037
Video20,2,1,38,13,1,0,27,2,2,0,3,0,4,0,0.022,0.011,0.409,0.140,0.011,0.000,0.290,0.022,0.022,0.000,0.032,0.000,0.043,0.000
Video21,9,7,14,8,2,0,6,4,1,1,0,1,5,2,0.150,0.117,0.233,0.133,0.033,0.000,0.100,0.067,0.017,0.017,0.000,0.017,0.083,0.033
Video22,25,20,25,23,15,13,13,11,10,5,0,2,11,10,0.137,0.109,0.137,0.126,0.082,0.071,0.071,0.060,0.055,0.027,0.000,0.011,0.060,0.055
Video23,14,17,19,6,17,11,6,6,5,2,3,4,18,9,0.102,0.124,0.139,0.044,0.124,0.080,0.044,0.044,0.036,0.015,0.022,0.029,0.131,0.066
Video24,18,8,33,23,9,6,6,4,7,7,6,0,7,2,0.132,0.059,0.243,0.169,0.066,0.044,0.044,0.029,0.051,0.051,0.044,0.000,0.051,0.015
Video25,22,9,6,6,9,6,4,3,1,2,0,3,10,2,0.265,0.108,0.072,0.072,0.108,0.072,0.048,0.036,0.012,0.024,0.000,0.036,0.120,0.024
Video26,18,14,7,9,2,4,4,5,5,3,0,0,7,3,0.222,0.173,0.086,0.111,0.025,0.049,0.049,0.062,0.062,0.037,0.000,0.000,0.086,0.037
Video7,11,5,7,11,6,5,10,5,1,3,0,3,1,7,0.147,0.067,0.093,0.147,0.080,0.067,0.133,0.067,0.013,0.040,0.000,0.040,0.013,0.093
Video8,11,3,4,34,10,6,6,2,1,4,2,1,10,0,0.117,0.032,0.043,0.362,0.106,0.064,0.064,0.021,0.011,0.043,0.021,0.011,0.106,0.000
Video9,9,7,5,13,5,4,8,9,3,3,3,2,4,8,0.108,0.084,0.060,0.157,0.060,0.048,0.096,0.108,0.036,0.036,0.036,0.024,0.048,0.096
Video_020609,10,19,2,17,12,24,0,5,23,63,16,22,13,27,0.040,0.075,0.008,0.067,0.047,0.095,0.000,0.020,0.091,0.249,0.063,0.087,0.051,0.107
