VIDEO,ROI 1,ROI 2,KEY-POINT,START TIME (s),END TIME (s),START FRAME,END FRAME,BOUT FRAMES,BOUT TIME (s)
termites_test,Animal_1,Animal_2,ROI_ONLY,5.7666666667,6.5,173,195,23,0.8
termites_test,Animal_1,Animal_3,Tail,3.3,5.1333333333,99,154,56,1.9
termites_test,Animal_1,Animal_4,Head,8.5,9.3,255,279,25,0.8666666667
termites_test,Animal_1,Animal_4,Tail,23.0333333333,23.3666666667,691,701,11,0.4
termites_test,Animal_2,Animal_1,Tail,4.2,5.0333333333,126,151,26,0.9
termites_test,Animal_2,Animal_1,Tail,6.5,6.7333333333,195,202,8,0.3
termites_test,Animal_2,Animal_5,Head,13.0666666667,15,392,450,59,2
termites_test,Animal_2,Animal_5,Thorax,13.6666666667,15.5666666667,410,467,58,1.9666666667
termites_test,Animal_3,Animal_4,Head,25.3,26.0333333333,759,781,23,0.8
termites_test,Animal_3,Animal_4,Thorax,10.0666666667,10.3333333333,302,310,9,0.3333333333
termites_test,Animal_3,Animal_4,Thorax,25.7,26.0333333333,771,781,11,0.4
termites_test,Animal_3,Animal_4,Abdomen,8.3666666667,8.6333333333,251,259,9,0.3333333333
termites_test,Animal_3,Animal_4,Abdomen,9.9666666667,11.1666666667,299,335,37,1.2666666667
termites_test,Animal_3,Animal_4,Tail,8.1,12.5333333333,243,376,134,4.5
termites_test,Animal_4,Animal_1,Head,8.5,9.3,255,279,25,0.8666666667
termites_test,Animal_4,Animal_1,Tail,13.4333333333,14.4,403,432,30,1.0333333333
termites_test,Animal_4,Animal_3,Head,25.3,26.0333333333,759,781,23,0.8
termites_test,Animal_4,Animal_3,Thorax,25.5666666667,26.4333333333,767,793,27,0.9333333333
termites_test,Animal_4,Animal_3,Abdomen,26.0333333333,26.8,781,804,24,0.8333333333
termites_test,Animal_4,Animal_3,Tail,27,27.3666666667,810,821,12,0.4333333333
termites_test,Animal_5,Animal_2,Head,13.0666666667,15,392,450,59,2
termites_test,Animal_5,Animal_2,Thorax,12.9,13.5333333333,387,406,20,0.7
termites_test,Animal_5,Animal_4,ROI_ONLY,30.7,32.6,921,978,58,1.9666666667
termites_test,Animal_5,Animal_2,Tail,1.7666666667,2.2333333333,53,67,15,0.5333333333
termites_test,Animal_5,Animal_2,ROI_ONLY,12.3666666667,16.3,371,489,119,4
termites_test,Animal_4,Animal_3,ROI_ONLY,24.6666666667,26.9333333333,740,808,69,2.3333333333
termites_test,Animal_1,Animal_2,ROI_ONLY,24.7666666667,25.9666666667,743,779,37,1.2666666667
termites_test,Animal_1,Animal_3,ROI_ONLY,15.1,16.7333333333,453,502,50,1.7
termites_test,Animal_1,Animal_3,ROI_ONLY,20.4,20.9333333333,612,628,17,0.6
termites_test,Animal_1,Animal_4,ROI_ONLY,5.2,9.9333333333,156,298,143,4.8
termites_test,Animal_1,Animal_4,ROI_ONLY,10.8,12.3333333333,324,370,47,1.6
termites_test,Animal_2,Animal_1,ROI_ONLY,5.7666666667,6.5,173,195,23,0.8
termites_test,Animal_2,Animal_1,ROI_ONLY,24.7666666667,25.9666666667,743,779,37,1.2666666667
termites_test,Animal_2,Animal_5,ROI_ONLY,12.3666666667,16.3,371,489,119,4
termites_test,Animal_3,Animal_1,ROI_ONLY,15.1,16.7333333333,453,502,50,1.7
termites_test,Animal_3,Animal_1,ROI_ONLY,20.4,20.9333333333,612,628,17,0.6
termites_test,Animal_3,Animal_4,ROI_ONLY,0.0333333333,1.9666666667,1,59,59,2
termites_test,Animal_3,Animal_4,ROI_ONLY,3.8333333333,5.1666666667,115,155,41,1.4
termites_test,Animal_3,Animal_4,ROI_ONLY,8.3666666667,12.7666666667,251,383,133,4.4666666667
termites_test,Animal_3,Animal_4,ROI_ONLY,22.7,23.7,681,711,31,1.0666666667
termites_test,Animal_3,Animal_4,ROI_ONLY,24.6666666667,26.9333333333,740,808,69,2.3333333333
termites_test,Animal_4,Animal_1,ROI_ONLY,5.2,9.9333333333,156,298,143,4.8
termites_test,Animal_4,Animal_1,ROI_ONLY,10.8,12.3333333333,324,370,47,1.6
termites_test,Animal_4,Animal_3,ROI_ONLY,0.0333333333,1.9666666667,1,59,59,2
termites_test,Animal_4,Animal_3,ROI_ONLY,3.8333333333,5.1666666667,115,155,41,1.4
termites_test,Animal_4,Animal_3,ROI_ONLY,8.3666666667,12.7666666667,251,383,133,4.4666666667
termites_test,Animal_4,Animal_3,ROI_ONLY,22.7,23.7,681,711,31,1.0666666667
termites_test,Animal_4,Animal_5,ROI_ONLY,30.7,32.6,921,978,58,1.9666666667
termites_test,Animal_5,Animal_2,Tail,17.0666666667,17.2333333333,512,517,6,0.2333333333
